sku;categories;family;name;description
13871461;lexmark,multifunctionals,print_scan_sales;multifunctionals;Lexmark X464de;<b>Streamlined Reliability</b>\nA smart, reliable option for bringing duplex printing, copying, scanning and high-speed faxing into one machine, with up to 40 ppm and the ability to scan documents straight to e-mail or a flash drive.\n\n<b>As Easy as It Gets</b>\nRight out of the box, you’ll power through tasks at exceptionally fast speeds—up to 40 ppm. It’s a breeze to set up, install, and start enjoying the benefit of doing all those multiple tasks on one user-friendly machine.\n\n<b>Smarter Printer, Smarter Business</b>\nThe large LCD color touch screen offers amazingly simple access to a rich range of features, including duplex scanning, advanced copying and easy user authorization for enhanced security. You can even customize the touch screen to meet your workgroup’s specific needs.\n\n<b>Small in Size, Huge on Features</b>\nEnjoy an intelligent, efficient combination of built-in features like duplex printing, copying and scanning plus a front Direct USB port. Gives you the ability to scan to multiple destinations, letting your workgroup breeze through intense workloads.\n\n<b>Save the Earth and Money</b>\nLower your cost per page while helping conserve resources with up to 9,000*-page or 15,000*-page replacement cartridges. Add that to the automatic duplex printing and the energy savings of consolidating to one smart device, and you’re taking big steps toward an eco-conscious workplace. (*Declared yield in accordance with ISO/IEC 19752.)
14596093;led_tvs,lg,tvs_projectors_sales;led_tvs;LG 32LT380H LED TV;"<b>Front LED Clock</b>\nThe integrated LED clock has an array of alarm functions that are useful for guests, yet introduces cost savings for hoteliers - no need to supply a separate alarm clock.\n\n<b>Lock Mode</b>\nLock Mode can make TV to be blocked from external input signals for illegal communication in such areas; Prison, Mental hospital and any applicable public spaces.\n\n<b>Swivel Stand</b>\nThe Swivel stand allows guests to watch TV virtually at any direction as it can be rotated 90 degrees in both directions. Just rotate the TV to your direction to watch TV comfortably."
3897225;avision,print_scan_sales,scanners;scanners;Avision @V2800;The product offers an unprecedented document delivery technology, transmitting paper documents electronically over the internet.  With @V2800, you can instantly scan single-sided or double-sided paper-based document and deliver the electronics image to various destinations including e-mail addresses, printer, fax machine, ftp servers, web site, or someone else's computer on the network.\n\nThe new way to distribute documents is faster, more cost effective, and safer than any traditional methods such as mail, or copier.
11181190;asus,pc_monitors,tvs_projectors_sales;pc_monitors;ASUS VS229H-P;<b>178° Ultra Wide View Meets Classic Elegant Design</b>\nDelicate touches make a monitor truly great, VS229H Full HD LED monitor, with 50,000,000:1 high contrast ratio and HDMI interface, is optimized for the finest image and color quality. This approach extends to the sturdy stand and slim profile without compromising style in ensuring stability and durability.\nASUS exclusive QuickFit Virtual Scale instantly boosts design efficiency by providing real-size photo and grid on screen.\n\n<b>Superior Image Quality Meets Classic Elegant Design</b>\nDelicate touches make a monitor truly great, VS229H Full HD LED monitor, embedded the wide-viewing-angle IPS panel with 50,000,000:1 high contrast ratio and HDMI interface, is optimized for the finest image and color quality. This approach extends to the sturdy stand and slim profile without compromising style in ensuring stability and durability.\n\n<b>True-to-life Pictures Powered by LED</b>\n<b>50,000,000:1 ASUS Smart Contrast Ratio</b>\nDynamically enhances the display’s contrast by adjusting the luminance\nof the backlight to achieve the darkest black and brightest white – delivering lifelike images.\n\n<b>Full HD with HDMI</b>\nEnter a spectacular world of colors with Full HD 1080p (1920x1080) support and HDMI port.\n\n<b>178˚Ultra Wide Viewing Angle</b>\nVS229H adopts 178˚(H) / 178˚(V) ultra wide viewing angle IPS panel that eliminates color shift on your screen no matter where and how you look at it.\n\n<b>Aspect Control function</b>\nAspect Control function allows users to select a preferred display mode among Full and 4:3 for true-to-life gaming or movie watching without any data loss or image distortion.\n\n<b>QuickFit Virtual Scale</b>\nThe ASUS-exclusive QuickFit built in the monitor provides real-size photo and grid mode on top of the operating windows on the screen. It can activated via a hotkey on monitor and used as a guide to accurately view and edit photos.\n\n<b>Splendid™ Video Intelligence Technology</b>\nThe exclusive Splendid Video Intelligence Technology optimizes video performance and image fidelity by enhancing color, brightness, contrast, and sharpness. 6 preset video modes (Scenery, Theater, Game, Night View, sRGB and Standard) can be selected via a hotkey.
12361250;camcorders,cameras_sales,canon;camcorders;Canon LEGRIA HF R36;"- Wi-Fi with MP4 support\n- 51x Advanced zoom; Full HD CMOS\n- Optical Intelligent IS\n- Story Creator\n- Cinema-look filters; Touch Decoration\n- Store direct to external HDD\n- 7.5cm touch screen\n- Smart Auto, Face Detection\n- HD-SD conversion\n- 8GB memory, SDXC card slot\n\nShare your stories effortlessly with Wi-Fi\n\n<b>Wi-Fi with MP4 support</b>\nIn-built Wi-Fi lets you effortlessly share your creations to social networking sites and view your videos on DNLA certified TVs and iOS devices. Support for MP4 format ensures quick transfer times of HD movies.\n\n<b>51x Advanced zoom; Full HD CMOS</b>\nA genuine Canon HD video lens with 51x Advanced Zoom lets you capture all the detail in even far away subjects. The Full HD CMOS sensor gives excellent colour reproduction even in low light, so your movies will look great on your HDTV.\n\n<b>Optical Intelligent IS</b>\nIntelligent IS is the perfect solution to combat camera shake. It automatically detects the scene and selects exactly the right optical Image Stabilizer settings from 4 modes to counteract movement and prevent blur. It ensures sharp, detailed videos in every situation - leaving you free to concentrate on shooting.\n\n<b>Story Creator</b>\nUse Story Creator to effortlessly create memorable movies and help develop your video skills. Choose a theme for your movie and Story Creator gives you on screen suggestions and shooting tips, so you can make captivating videos.\n\n<b>Cinema-look filters; Touch Decoration</b>\nInspire your creativity with Cinema-Look Filters. Select from 8 adjustable colour-grading filters to capture the perfect movie scene. Adding fun effects to your movies without a PC is easy using Touch Decoration.\n\n<b>Store direct to external HDD</b>\nCopy movies direct from the inbuilt memory or SDXC card slot to an external hard drive. Just follow the simple on-screen menus for quick and easy storage.\n\n<b>Fingertip control</b>\nOperation is easy with a high-resolution 7.5cm (3.0”) gesture-based Touch-screen LCD, which gives you intuitive fingertip control of settings and simplifies playback.\n\n<b>Smart Auto, Face Detection</b>\nEffortlessly shoot high quality video with Smart Auto. Intelligent Scene Detection Technology selects the perfect settings from 38 scene modes – all you have to do is point and shoot, whilst Face Detection optimises the settings for great people shots.\n\n<b>HD-SD conversion</b>\nConvert movies from HD to SD in camera for really easy sharing and web uploading.\n\n<b>8GB Dual Flash memory, SDXC card slot</b>\nAn in-built 8GB Dual Flash memory lets you store over 3 hours of Full HD movies. Record even longer with the SDXC card slot."
8506218;print_scan_sales,scanners,xerox;scanners;Xerox DocuMate 700;Xerox 700, DocuMate. Maximum scan size: 297 x 420, Scanner type: flatbed, Optical scanning resolution: 600 x 600. Standard interfaces: USB 2.0. Scan drivers: ISIS, TWAIN, WIA. Power supply type: AC. ISO A-series sizes (A0...A9): A3, A4
476335;audio_video_sales,fujitsu,loudspeakers;loudspeakers;Fujitsu SOUNDSYSTEM DS2100;The SOUNDSYSTEM DS2100 is a new 2.1 speaker system with outstanding acoustic features, which stands for crystal-clear, powerful sound, combined with an attractive and modern design. It consists of two high-quality satellite speakers and a very powerful subwoofer with a total output of 200 W (PMPO). With its small and stylish satellites the SOUNDSYSTEM DS2100 fits conveniently on each desk. Since volume control, mute control and headphone jack are located ergonomically on a satellite speaker, it is possible to place the subwoofer under the desk.
13620748;led_tvs,samsung,tvs_projectors_sales;led_tvs;Samsung UE40ES5500PXZT LED TV;Samsung UE40ES5500PXZT. HD type: Full HD, Display resolution: 1920 x 1080, Supported graphics resolutions: 1920 x 1080 (HD 1080). Tuner type: Analogue & Digital, Digital signal format system: DVB-C, DVB-T. Audio system: Dolby Digital Plus, Dolby Pulse, SRS HD TheaterSound. Consumer Electronics Control (CEC): Anynet+. Smart modes: Game
17378627;audio_video_sales,mp3_players,philips;mp3_players;Philips SA4RGA02VN/97 MP3 player & recorder;<b>Color your world with superb sound</b>\n\n<b>Small, fun and colorful</b>\n\nSmall and fun, the GoGEAR Raga MP3 player with FullSound brings your favorites to life.\nPhilips Songbird ensures endless music discovery and easy synchronization, while FastCharge offers quick charging.\n\n<b>Superb quality sound</b>\n\nFullsoundTM to bring your MP3 music to life\n\n<b>Complements your life</b>\n\n- Soft and smooth finish for easy comfort and handling\n- Full color display for intuitive and enjoyable navigation\n- Enjoy up to 15-hour music playback\n-\n<b>Easy and intuitive</b>\n\n- Philips Songbird: one simple program to discover, play, sync\n- LikeMusic for playlists of songs that sound great together\n- Quick 6-minute charge for 60 minutes of play\n- Folder view to organize and view media files like on your PC\n\n<b>FullSoundTM</b>\n\nPhilips' innovative FullSound technology faithfully restores sonic details to compressed MP3 music, dramatically enriching and enhancing it, so you can experience CD music without any distortion. Based on an audio post-processing algorithm, FullSound combines Philips' renowned expertise in music reproduction with the power of the latest generation Digital Signal Processor (DSP). The result is fuller bass with more depth and impact, boosted voice and instrument clarity, and rich detail. Rediscover your compressed MP3 music in true-to-life sound that will touch your soul and move your feet.\n\n<b>Philips Songbird</b>\n\nOne simple, easy-to-use program that comes with your GoGear player, Philips Songbird lets you discover and play all your media, and sync it seamlessly with your Philips GoGear. Its intuitive and powerful music management features let you discover new artists and music styles directly in the program through music and media stores, services and websites. Play your own library and media from the internet and seamlessly sync all of it from your PC to your Philips GoGear.\n\n<b>Fast charging (60 mins)</b>\n\nSometimes, you just need your GoGEAR player to take you from home to office and back again or for a short run – but you forgot to charge it last night. Say goodbye to frustration and boring, silent journeys with Fast Charge. Philips’ smart and convenient solution lets you plug your GoGEAR to your PC or USB charger for just 6 minutes and in return, you get a whopping 60 minutes of audio playback! Fast Charge works by relying on much higher current levels to give your lithium-ion battery\nthe power it needs to tide you over in a jiffy ... and keep the music going.\n\n<b>Soft and smooth finish</b>\n\nSoft and smooth finish for easy comfort and handling\n\n<b>Full color display</b>\n\nFull color display for intuitive and enjoyable navigation\n\n<b>Up to 15-hour music playback</b>\n\n<b>LikeMusic</b>\n\nLikeMusic lets you experience more of the music that you like most – with just a click! No need to sort through your music library or wait for serendipity to strike. LikeMusic is a Philips patented algorithm that analyzes songs in your library to identify similar music characteristics. These characteristics help LikeMusic create smart playlists of songs that simply sound great together. Just click on a song that you like and hit the LikeMusic icon – a playlist will instantly appear. Give it a name and enjoy your new playlist – or rediscover songs – on your PC or your GoGear player.\n\n<b>Folder view</b>\n\nFolder view is an optional directory view of the GoGear player that lets you view all the files on your player as if it were a computer. Once you select Folder view, opening any supported file (i.e. music, mpictures or videos) is as easy as selecting the file and hitting Play.
1739452;audio_video_sales,loudspeakers,trust;loudspeakers;Trust SoundForce Vivo;<b>Key features</b>\n- Stylish stereo 2.0 speaker set with a total RMS power output of 8 Watt\n- Bass reflex port and 2x2 micro driver technology for full and rich sound with maximised bass\n- Convenient extra line-in connection at the front for iPod or other portable media player (cable included)\n- Easily accessible power button and volume control at the front
